"","year","avg_AT"
"1",1988,2.33899721448468
"2",1989,3.29285714285714
"3",1990,2.86688741721854
"4",1991,0.406666666666667
"5",1992,2.56239554317549
"6",1993,3.22492753623188
"7",1994,2.51725352112676
"8",1995,3.59070512820513
"9",1996,2.63428571428571
"10",1997,3.47844827586207
"11",1998,2.23382352941176
"12",1999,2.00457317073171
"13",2000,2.82659932659933
"14",2001,0.118840579710145
"15",2002,4.53888888888889
"16",2003,4.12802197802198
"17",2004,3.81263736263736
"18",2005,3.55769230769231
"19",2006,2.81077348066298
"20",2007,0.776923076923077
"21",2008,2.51606648199446
"22",2009,0.584651162790698
"23",2010,0.463243243243243
"24",2011,1.26153846153846
"25",2012,3.87287057522124
"26",2013,4.46583912611718
"27",2014,7.46208791208791
"28",2015,4.11758241758242
"29",2016,4.6786301369863
"30",2017,4.72344632768362
