Year,Water Temperature,Air Temperature
1988,4.572980501,2.338997214
1989,4.815142857,3.292857143
1990,4.946357616,2.866887417
1991,3.263555556,0.406666667
1992,4.771030641,2.562395543
1993,4.860289855,3.224927536
1994,4.607394366,2.517253521
1995,5.423717949,3.590705128
1996,4.117142857,2.634285714
1997,5.486781609,3.478448276
1998,4.487941176,2.233823529
1999,4.13597561,2.004573171
2000,4.633333333,2.826599327
2001,3.504347826,0.11884058
2002,6.374242424,4.538888889
2003,5.77032967,4.128021978
2004,5.623626374,3.812637363
2005,5.242582418,3.557692308
2006,5.119889503,2.810773481
2007,3.236032389,0.776923077
2008,4.822160665,2.516066482
2009,2.931162791,0.584651163
2010,3.002702703,0.463243243
2011,2.571794872,1.261538462
2012,4.786642699,3.872870575
2013,5.096954651,4.465839126
2014,8.765384615,7.462087912
2015,5.885714286,4.117582418
2016,6.284109589,4.678630137
2017,6.133333333,4.723446328
