"","year","avg_ST","avg_AT"
"1",1988,4.57298050139276,2.33899721448468
"2",1989,4.81514285714286,3.29285714285714
"3",1990,4.94635761589404,2.86688741721854
"4",1991,3.26355555555556,0.406666666666667
"5",1992,4.77103064066852,2.56239554317549
"6",1993,4.86028985507246,3.22492753623188
"7",1994,4.60739436619718,2.51725352112676
"8",1995,5.42371794871795,3.59070512820513
"9",1996,4.11714285714286,2.63428571428571
"10",1997,5.4867816091954,3.47844827586207
"11",1998,4.48794117647059,2.23382352941176
"12",1999,4.1359756097561,2.00457317073171
"13",2000,4.63333333333333,2.82659932659933
"14",2001,3.50434782608696,0.118840579710145
"15",2002,6.37424242424242,4.53888888888889
"16",2003,5.77032967032967,4.12802197802198
"17",2004,5.62362637362637,3.81263736263736
"18",2005,5.24258241758242,3.55769230769231
"19",2006,5.11988950276243,2.81077348066298
"20",2007,3.23603238866397,0.776923076923077
"21",2008,4.82216066481994,2.51606648199446
"22",2009,2.93116279069767,0.584651162790698
"23",2010,3.0027027027027,0.463243243243243
"24",2011,2.57179487179487,1.26153846153846
"25",2012,4.78664269911504,3.87287057522124
"26",2013,5.09695465077789,4.46583912611718
"27",2014,8.76538461538462,7.46208791208791
"28",2015,5.88571428571429,4.11758241758242
"29",2016,6.28410958904109,4.6786301369863
"30",2017,6.13333333333333,4.72344632768362
